Page,Meta description
https://docs.avitai.bio/artifex/configs/distributed/,"DistributedConfig describes multi-process topology, device-mesh shape, and distributed runtime policy."
https://docs.avitai.bio/artifex/configs/error_handling/,"The retained config loader keeps file, parse, and typed-schema failures inside one repo-owned error hierarchy."
https://docs.avitai.bio/artifex/configs/extensions/,"Artifex configures extension composition through typed frozen dataclasses. The canonical protein surface is ProteinExtensionsConfig, which bundles the optional"
https://docs.avitai.bio/artifex/configs/hyperparam/,HyperparamSearchConfig defines search strategy and the typed parameter distribution objects used in the search space.
https://docs.avitai.bio/artifex/configs/inference/,Inference uses a small hierarchy of frozen dataclasses.
https://docs.avitai.bio/artifex/configs/templates/,Configuration templates are exposed through the public artifex.configs surface and implemented in generative_models.core.configuration.management.templates.
https://docs.avitai.bio/artifex/configs/training/,Training uses one top-level dataclass plus nested optimizer and scheduler configs.
https://docs.avitai.bio/artifex/core/,The retained artifex.generative_models.core package is a narrower shared-runtime layer.
https://docs.avitai.bio/artifex/core/adversarial/,Module: generative_models.core.losses.adversarial
https://docs.avitai.bio/artifex/core/ancestral/,Module: generative_models.core.sampling.ancestral
https://docs.avitai.bio/artifex/core/architecture/,"Artifex follows a modular, protocol-based architecture designed for research experimentation and production deployment."
https://docs.avitai.bio/artifex/core/base/,Module: generative_models.core.sampling.base
https://docs.avitai.bio/artifex/core/benchmarks/,The benchmark foundation moved out of artifex.generative_models.core and now lives in artifex.benchmarks.core.
https://docs.avitai.bio/artifex/core/blackjax_samplers/,Module: artifex.generative_models.core.sampling.blackjax_samplers
https://docs.avitai.bio/artifex/core/causal/,Module: generative_models.core.layers.causal
https://docs.avitai.bio/artifex/core/checkpointing/,Module: generative_models.core.checkpointing
https://docs.avitai.bio/artifex/core/config_commands/,Module: artifex.generative_models.core.cli.config_commands
https://docs.avitai.bio/artifex/core/configuration/,Artifex uses one typed configuration foundation across the generative stack:
https://docs.avitai.bio/artifex/core/continuous/,Module: generative_models.core.distributions.continuous
https://docs.avitai.bio/artifex/core/device_manager/,Module: generative_models.core.device_manager
https://docs.avitai.bio/artifex/core/device_testing/,artifex.generative_models.core.device_testing provides a small runtime diagnostic surface for the active JAX backend.
https://docs.avitai.bio/artifex/core/diffusion/,Module: artifex.generative_models.core.sampling.diffusion
https://docs.avitai.bio/artifex/core/discrete/,Module: generative_models.core.distributions.discrete
https://docs.avitai.bio/artifex/core/distance/,Module: generative_models.core.evaluation.metrics.distance
https://docs.avitai.bio/artifex/core/distribution_base/,Module: generative_models.core.distributions.base
https://docs.avitai.bio/artifex/core/divergence/,Module: generative_models.core.losses.divergence
https://docs.avitai.bio/artifex/core/evaluation/,Module: generative_models.core.protocols.evaluation
https://docs.avitai.bio/artifex/core/fid/,FrechetInceptionDistance lives in artifex.generative_models.core.evaluation.metrics.image.fid.
https://docs.avitai.bio/artifex/core/flash_attention/,Module: generative_models.core.layers.flash_attention
https://docs.avitai.bio/artifex/core/gan/,Supported owner: artifex.generative_models.core.configuration.gan_config
https://docs.avitai.bio/artifex/core/geometric/,Module: generative_models.core.losses.geometric
https://docs.avitai.bio/artifex/core/inception_score/,InceptionScore lives in artifex.generative_models.core.evaluation.metrics.image.inception_score.
https://docs.avitai.bio/artifex/core/information/,Module: generative_models.core.evaluation.metrics.information
https://docs.avitai.bio/artifex/core/jax_config/,Module: generative_models.core.jax_config
https://docs.avitai.bio/artifex/core/logging/,Module: generative_models.core.logging
https://docs.avitai.bio/artifex/core/mcmc/,Module: generative_models.core.sampling.mcmc
https://docs.avitai.bio/artifex/core/metric_ops/,Module: generative_models.core.evaluation.metrics.metric_ops
https://docs.avitai.bio/artifex/core/metrics/,Artifex ships a narrow evaluation surface with explicit dependencies. It is not a full built-in evaluation catalog with pretrained backends.
https://docs.avitai.bio/artifex/core/migrate_configs/,Status: Coming soon
https://docs.avitai.bio/artifex/core/mixture/,Module: generative_models.core.distributions.mixture
https://docs.avitai.bio/artifex/core/ode/,Module: generative_models.core.sampling.ode
https://docs.avitai.bio/artifex/core/perceptual/,Module: generative_models.core.losses.perceptual
https://docs.avitai.bio/artifex/core/performance/,Module: artifex.generative_models.core.performance
https://docs.avitai.bio/artifex/core/perplexity/,Perplexity lives in artifex.generative_models.core.evaluation.metrics.text.perplexity.
https://docs.avitai.bio/artifex/core/pipeline/,EvaluationPipeline is the retained orchestration layer for explicit evaluation dependencies. It lives in
https://docs.avitai.bio/artifex/core/positional/,Module: generative_models.core.layers.positional
https://docs.avitai.bio/artifex/core/precision_recall/,Module: generative_models.core.evaluation.metrics.general.precision_recall
https://docs.avitai.bio/artifex/core/quality/,Module: generative_models.core.evaluation.metrics.quality
https://docs.avitai.bio/artifex/core/reconstruction/,Module: generative_models.core.losses.reconstruction
https://docs.avitai.bio/artifex/core/registry/,Registry ownership for evaluation metrics lives in Calibrax.
https://docs.avitai.bio/artifex/core/regularization/,Module: generative_models.core.losses.regularization
https://docs.avitai.bio/artifex/core/residual/,Module: generative_models.core.layers.residual
https://docs.avitai.bio/artifex/core/resnet/,Module: generative_models.core.layers.resnet
https://docs.avitai.bio/artifex/core/runner/,BenchmarkRunner and PerformanceTracker live in artifex.benchmarks.core.runner.
https://docs.avitai.bio/artifex/core/sde/,Module: generative_models.core.sampling.sde
https://docs.avitai.bio/artifex/core/statistical/,Module: generative_models.core.evaluation.metrics.statistical
https://docs.avitai.bio/artifex/core/templates/,Module: generative_models.core.configuration.management.templates
https://docs.avitai.bio/artifex/core/transformations/,Module: generative_models.core.distributions.transformations
https://docs.avitai.bio/artifex/core/transformers/,Module: generative_models.core.layers.transformers
https://docs.avitai.bio/artifex/core/unified/,Artifex uses one configuration backend across the repo:
https://docs.avitai.bio/artifex/core/validation/,Supported owner: artifex.generative_models.core.configuration.validation
https://docs.avitai.bio/artifex/core/versioning/,Module: generative_models.core.configuration.management.versioning
https://docs.avitai.bio/artifex/data/,The top-level artifex.data package is intentionally narrow.
https://docs.avitai.bio/artifex/data/audio/,Module: data.preprocessing.audio
https://docs.avitai.bio/artifex/data/base/,Module: data.preprocessing.base
https://docs.avitai.bio/artifex/data/bookcorpus/,Module: data.datasets.text.bookcorpus
https://docs.avitai.bio/artifex/data/bpe/,Module: data.tokenizers.bpe
https://docs.avitai.bio/artifex/data/character/,Module: data.tokenizers.character
https://docs.avitai.bio/artifex/data/cifar/,Module: data.datasets.image.cifar
https://docs.avitai.bio/artifex/data/coco/,Module: data.datasets.multimodal.coco
https://docs.avitai.bio/artifex/data/collators/,Module: data.collators
https://docs.avitai.bio/artifex/data/custom_audio/,Module: data.datasets.audio.custom_audio
https://docs.avitai.bio/artifex/data/custom_image/,Module: data.datasets.image.custom_image
https://docs.avitai.bio/artifex/data/custom_multimodal/,Module: data.datasets.multimodal.custom_multimodal
https://docs.avitai.bio/artifex/data/custom_text/,Module: data.datasets.text.custom_text
https://docs.avitai.bio/artifex/data/custom_video/,Module: data.datasets.video.custom_video
https://docs.avitai.bio/artifex/data/dataset/,Canonical owner: artifex.data.protein.dataset
https://docs.avitai.bio/artifex/data/ffhq/,Module: data.datasets.image.ffhq
https://docs.avitai.bio/artifex/data/image/,Module: data.preprocessing.image
https://docs.avitai.bio/artifex/data/imagenet/,Module: data.datasets.image.imagenet
https://docs.avitai.bio/artifex/data/librispeech/,Module: data.datasets.audio.librispeech
https://docs.avitai.bio/artifex/data/pipeline/,Module: data.pipeline
https://docs.avitai.bio/artifex/data/protein_dataset/,This page is retained for historical links.
https://docs.avitai.bio/artifex/data/registry/,Module: data.registry
https://docs.avitai.bio/artifex/data/remote/,Module: data.streaming.remote
https://docs.avitai.bio/artifex/data/samplers/,Module: data.samplers
https://docs.avitai.bio/artifex/data/sentencepiece/,Module: data.tokenizers.sentencepiece
https://docs.avitai.bio/artifex/data/structured/,Module: data.loaders.structured
https://docs.avitai.bio/artifex/data/text/,Module: data.preprocessing.text
https://docs.avitai.bio/artifex/data/tfrecord/,Module: data.streaming.tfrecord
https://docs.avitai.bio/artifex/data/ucf101/,Module: data.datasets.video.ucf101
https://docs.avitai.bio/artifex/data/vctk/,Module: data.datasets.audio.vctk
https://docs.avitai.bio/artifex/data/video/,Module: data.preprocessing.video
https://docs.avitai.bio/artifex/data/webdataset/,Module: data.streaming.webdataset
https://docs.avitai.bio/artifex/data/wikipedia/,Module: data.datasets.text.wikipedia
https://docs.avitai.bio/artifex/data/word/,Module: data.tokenizers.word
https://docs.avitai.bio/artifex/development/blackjax-testing/,BlackJAX is a first-class dependency in Artifex. Its tests are part of the normal pytest surface and should run under the same contract as the rest of the
https://docs.avitai.bio/artifex/development/example-documentation-design/,"This guide defines how to design, write, maintain, and review Artifex examples. It is specific to Artifex's current runtime and contributor contract:"
https://docs.avitai.bio/artifex/development/philosophy/,Artifex is designed with a clear set of guiding principles that inform every architectural and implementation decision.
https://docs.avitai.bio/artifex/development/roadmap/,This document outlines the development status and planned improvements for Artifex.
https://docs.avitai.bio/artifex/development/testing/,"Artifex uses the standard uv run pytest surface. Treat the root TESTING.md file as the canonical command and policy reference, and keep contributor-facing docs"
https://docs.avitai.bio/artifex/examples/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/examples/overview/,Artifex publishes docs/examples/ pages only when a real source pair exists under examples/generative_models/: one runnable .py file and one paired .ipynb
https://docs.avitai.bio/artifex/examples/advanced/advanced-gan/,Status: Exploratory workflow Device: GPU-optional
https://docs.avitai.bio/artifex/examples/advanced/advanced-training/,Level: Intermediate Runtime: ~2 minutes Format: Dual (.py script | .ipynb notebook)
https://docs.avitai.bio/artifex/examples/advanced/advanced-vae/,Level: Advanced | Runtime: Varies by variant (30-60 min per model) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/audio/simple-audio-generation/,Status: Standalone pedagogy Level: Beginner | Runtime: ~10 seconds (CPU) | Format: Python + Jupyter | Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/basic/diffusion-mnist-demo/,A lightweight demonstration of Artifex's DDPM (Denoising Diffusion Probabilistic Model) API using MNIST. This example shows how to use the DDPMModel
https://docs.avitai.bio/artifex/examples/basic/diffusion-mnist/,"Level: Beginner | Runtime: ~30 minutes (GPU), ~2-3 hours (CPU) | Format: Python + Jupyter"
https://docs.avitai.bio/artifex/examples/basic/flow-mnist/,"Level: Beginner | Runtime: ~50 minutes (GPU), ~4-5 hours (CPU) | Format: Python + Jupyter"
https://docs.avitai.bio/artifex/examples/basic/simple-gan/,Level: Beginner | Runtime: ~2-3 minutes (GPU/CPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/basic/vae-mnist/,Level: Beginner | Runtime: ~2-3 minutes (CPU/GPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/diffusion/dit-demo/,Level: Advanced | Runtime: ~5 minutes (CPU) / ~1-2 minutes (GPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/diffusion/simple-diffusion/,Status: Standalone pedagogy Level: Beginner | Runtime: ~30 seconds (CPU) / ~10 seconds (GPU) | Format: Python + Jupyter | Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/energy/simple-ebm/,Level: Intermediate | Runtime: ~2 minutes (CPU) / ~30 seconds (GPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/framework/framework-features-demo/,Level: Intermediate | Runtime: ~1-2 minutes (CPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/geometric/geometric-benchmark-demo/,Status: Demo-only benchmark walkthrough Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/geometric/geometric-losses-demo/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/examples/geometric/geometric-models-demo/,"A quick reference guide demonstrating how to configure and instantiate three types of geometric models in Artifex: point clouds, meshes, and voxels."
https://docs.avitai.bio/artifex/examples/geometric/simple-point-cloud-example/,Learn how to generate and visualize 3D point clouds using Artifex's PointCloudModel with transformer-based architecture.
https://docs.avitai.bio/artifex/examples/losses/loss-examples/,Level: Intermediate | Runtime: ~30 seconds (CPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/multimodal/simple-image-text/,Status: Standalone pedagogy Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/protein/protein-diffusion-example/,Status: Exploratory workflow Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/protein/protein-diffusion-tech-validation/,Status: Validation utility Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/protein/protein-extensions-example/,This example demonstrates the canonical typed bundle workflow for protein-aware extensions in Artifex.
https://docs.avitai.bio/artifex/examples/protein/protein-extensions-with-config/,This example demonstrates the configuration-driven protein extension workflow in Artifex.
https://docs.avitai.bio/artifex/examples/protein/protein-ligand-benchmark-demo/,Status: Demo-only benchmark walkthrough Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/protein/protein-model-extension/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/examples/protein/protein-model-with-modality/,Level: Intermediate | Runtime: ~10 seconds (CPU/GPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/protein/protein-point-cloud-example/,Level: Intermediate | Runtime: ~15 seconds (CPU) / ~5 seconds (GPU) | Format: Python + Jupyter
https://docs.avitai.bio/artifex/examples/sampling/blackjax-example/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/examples/sampling/blackjax-integration-examples/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/examples/sampling/blackjax-sampling-examples/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/examples/text/simple-text-generation/,Status: Standalone pedagogy Device: CPU-compatible
https://docs.avitai.bio/artifex/examples/vae/multi-beta-vae-benchmark-demo/,Status: Demo-only benchmark walkthrough Device: CPU-compatible
https://docs.avitai.bio/artifex/extensions/,Extensions are how Artifex adds domain-specific behavior to otherwise domain-agnostic models. The protein extension surface remains the design reference for
https://docs.avitai.bio/artifex/extensions/augmentation/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/backbone/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/constraints/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/embeddings/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/extensions/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/features/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/mixin/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/registry/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/spectral/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/temporal/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/tokenization/,Status: Supported runtime extension owner
https://docs.avitai.bio/artifex/extensions/utils/,Module: generative_models.extensions.protein.utils
https://docs.avitai.bio/artifex/factory/,"The factory module provides a centralized, type-safe interface for creating generative models in Artifex. It uses dataclass-based configurations to determine"
https://docs.avitai.bio/artifex/factory/autoregressive/,Module: generative_models.factory.builders.autoregressive
https://docs.avitai.bio/artifex/factory/core/,Module: generative_models.factory.core
https://docs.avitai.bio/artifex/factory/diffusion/,Module: generative_models.factory.builders.diffusion
https://docs.avitai.bio/artifex/factory/ebm/,Module: generative_models.factory.builders.ebm
https://docs.avitai.bio/artifex/factory/flow/,Module: generative_models.factory.builders.flow
https://docs.avitai.bio/artifex/factory/gan/,Module: generative_models.factory.builders.gan
https://docs.avitai.bio/artifex/factory/geometric/,Module: generative_models.factory.builders.geometric
